name,version,type,purl,licenses
"1to2","1.0.0","library","pkg:npm/1to2@1.0.0","MIT"
"@babel/parser","7.18.13","library","pkg:npm/%40babel/parser@7.18.13","MIT"
"@google-cloud/common","5.0.2","library","pkg:npm/%40google-cloud/common@5.0.2","Apache-2.0"
"@google-cloud/logging-min","11.2.0","library","pkg:npm/%40google-cloud/logging-min@11.2.0","Apache-2.0"
"@google-cloud/paginator","5.0.2","library","pkg:npm/%40google-cloud/paginator@5.0.2","Apache-2.0"
"@google-cloud/profiler","6.0.2","library","pkg:npm/%40google-cloud/profiler@6.0.2","Apache-2.0"
"@google-cloud/projectify","4.0.0","library","pkg:npm/%40google-cloud/projectify@4.0.0","Apache-2.0"
"@google-cloud/promisify","4.0.0","library","pkg:npm/%40google-cloud/promisify@4.0.0","Apache-2.0"
"@grpc/grpc-js","1.13.1","library","pkg:npm/%40grpc/grpc-js@1.13.1","Apache-2.0"
"@grpc/proto-loader","0.6.13","library","pkg:npm/%40grpc/proto-loader@0.6.13","Apache-2.0"
"@grpc/proto-loader","0.7.13","library","pkg:npm/%40grpc/proto-loader@0.7.13","Apache-2.0"
"@js-sdsl/ordered-map","4.4.2","library","pkg:npm/%40js-sdsl/ordered-map@4.4.2","MIT"
"@mapbox/node-pre-gyp","1.0.10","library","pkg:npm/%40mapbox/node-pre-gyp@1.0.10","BSD-3-Clause"
"@my-scope/package-a","0.0.0","library","pkg:npm/%40my-scope/package-a@0.0.0","MIT"
"@my-scope/package-b","0.0.0","library","pkg:npm/%40my-scope/package-b@0.0.0","MIT"
"@opentelemetry/api","1.9.0","library","pkg:npm/%40opentelemetry/api@1.9.0","Apache-2.0"
"@opentelemetry/api-logs","0.200.0","library","pkg:npm/%40opentelemetry/api-logs@0.200.0","Apache-2.0"
"@opentelemetry/api-metrics","0.26.0","library","pkg:npm/%40opentelemetry/api-metrics@0.26.0","Apache-2.0"
"@opentelemetry/context-async-hooks","2.0.0","library","pkg:npm/%40opentelemetry/context-async-hooks@2.0.0","Apache-2.0"
"@opentelemetry/core","1.0.0","library","pkg:npm/%40opentelemetry/core@1.0.0","Apache-2.0"
"@opentelemetry/core","1.30.1","library","pkg:npm/%40opentelemetry/core@1.30.1","Apache-2.0"
"@opentelemetry/core","1.30.1","library","pkg:npm/%40opentelemetry/core@1.30.1","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/exporter-logs-otlp-grpc","0.200.0","library","pkg:npm/%40opentelemetry/exporter-logs-otlp-grpc@0.200.0","Apache-2.0"
"@opentelemetry/exporter-logs-otlp-http","0.200.0","library","pkg:npm/%40opentelemetry/exporter-logs-otlp-http@0.200.0","Apache-2.0"
"@opentelemetry/exporter-logs-otlp-proto","0.200.0","library","pkg:npm/%40opentelemetry/exporter-logs-otlp-proto@0.200.0","Apache-2.0"
"@opentelemetry/exporter-metrics-otlp-grpc","0.200.0","library","pkg:npm/%40opentelemetry/exporter-metrics-otlp-grpc@0.200.0","Apache-2.0"
"@opentelemetry/exporter-metrics-otlp-http","0.200.0","library","pkg:npm/%40opentelemetry/exporter-metrics-otlp-http@0.200.0","Apache-2.0"
"@opentelemetry/exporter-metrics-otlp-proto","0.200.0","library","pkg:npm/%40opentelemetry/exporter-metrics-otlp-proto@0.200.0","Apache-2.0"
"@opentelemetry/exporter-otlp-grpc","0.26.0","library","pkg:npm/%40opentelemetry/exporter-otlp-grpc@0.26.0","Apache-2.0"
"@opentelemetry/exporter-otlp-http","0.26.0","library","pkg:npm/%40opentelemetry/exporter-otlp-http@0.26.0","Apache-2.0"
"@opentelemetry/exporter-prometheus","0.200.0","library","pkg:npm/%40opentelemetry/exporter-prometheus@0.200.0","Apache-2.0"
"@opentelemetry/exporter-trace-otlp-grpc","0.200.0","library","pkg:npm/%40opentelemetry/exporter-trace-otlp-grpc@0.200.0","Apache-2.0"
"@opentelemetry/exporter-trace-otlp-http","0.200.0","library","pkg:npm/%40opentelemetry/exporter-trace-otlp-http@0.200.0","Apache-2.0"
"@opentelemetry/exporter-trace-otlp-proto","0.200.0","library","pkg:npm/%40opentelemetry/exporter-trace-otlp-proto@0.200.0","Apache-2.0"
"@opentelemetry/exporter-zipkin","2.0.0","library","pkg:npm/%40opentelemetry/exporter-zipkin@2.0.0","Apache-2.0"
"@opentelemetry/instrumentation","0.200.0","library","pkg:npm/%40opentelemetry/instrumentation@0.200.0","Apache-2.0"
"@opentelemetry/instrumentation-grpc","0.200.0","library","pkg:npm/%40opentelemetry/instrumentation-grpc@0.200.0","Apache-2.0"
"@opentelemetry/otlp-exporter-base","0.200.0","library","pkg:npm/%40opentelemetry/otlp-exporter-base@0.200.0","Apache-2.0"
"@opentelemetry/otlp-grpc-exporter-base","0.200.0","library","pkg:npm/%40opentelemetry/otlp-grpc-exporter-base@0.200.0","Apache-2.0"
"@opentelemetry/otlp-transformer","0.200.0","library","pkg:npm/%40opentelemetry/otlp-transformer@0.200.0","Apache-2.0"
"@opentelemetry/propagator-b3","2.0.0","library","pkg:npm/%40opentelemetry/propagator-b3@2.0.0","Apache-2.0"
"@opentelemetry/propagator-jaeger","2.0.0","library","pkg:npm/%40opentelemetry/propagator-jaeger@2.0.0","Apache-2.0"
"@opentelemetry/resources","1.0.0","library","pkg:npm/%40opentelemetry/resources@1.0.0","Apache-2.0"
"@opentelemetry/resources","1.0.0","library","pkg:npm/%40opentelemetry/resources@1.0.0","Apache-2.0"
"@opentelemetry/resources","1.0.0","library","pkg:npm/%40opentelemetry/resources@1.0.0","Apache-2.0"
"@opentelemetry/resources","1.30.1","library","pkg:npm/%40opentelemetry/resources@1.30.1","Apache-2.0"
"@opentelemetry/resources","2.0.0","library","pkg:npm/%40opentelemetry/resources@2.0.0","Apache-2.0"
"@opentelemetry/resources","2.0.0","library","pkg:npm/%40opentelemetry/resources@2.0.0","Apache-2.0"
"@opentelemetry/resources","2.0.0","library","pkg:npm/%40opentelemetry/resources@2.0.0","Apache-2.0"
"@opentelemetry/resources","2.0.0","library","pkg:npm/%40opentelemetry/resources@2.0.0","Apache-2.0"
"@opentelemetry/resources","2.0.0","library","pkg:npm/%40opentelemetry/resources@2.0.0","Apache-2.0"
"@opentelemetry/resources","2.0.0","library","pkg:npm/%40opentelemetry/resources@2.0.0","Apache-2.0"
"@opentelemetry/resources","2.0.0","library","pkg:npm/%40opentelemetry/resources@2.0.0","Apache-2.0"
"@opentelemetry/resources","2.0.0","library","pkg:npm/%40opentelemetry/resources@2.0.0","Apache-2.0"
"@opentelemetry/resources","2.0.0","library","pkg:npm/%40opentelemetry/resources@2.0.0","Apache-2.0"
"@opentelemetry/resources","2.0.0","library","pkg:npm/%40opentelemetry/resources@2.0.0","Apache-2.0"
"@opentelemetry/resources","2.0.0","library","pkg:npm/%40opentelemetry/resources@2.0.0","Apache-2.0"
"@opentelemetry/resources","2.0.0","library","pkg:npm/%40opentelemetry/resources@2.0.0","Apache-2.0"
"@opentelemetry/resources","2.0.0","library","pkg:npm/%40opentelemetry/resources@2.0.0","Apache-2.0"
"@opentelemetry/resources","2.0.0","library","pkg:npm/%40opentelemetry/resources@2.0.0","Apache-2.0"
"@opentelemetry/sdk-logs","0.200.0","library","pkg:npm/%40opentelemetry/sdk-logs@0.200.0","Apache-2.0"
"@opentelemetry/sdk-metrics","2.0.0","library","pkg:npm/%40opentelemetry/sdk-metrics@2.0.0","Apache-2.0"
"@opentelemetry/sdk-metrics-base","0.26.0","library","pkg:npm/%40opentelemetry/sdk-metrics-base@0.26.0","Apache-2.0"
"@opentelemetry/sdk-node","0.200.0","library","pkg:npm/%40opentelemetry/sdk-node@0.200.0","Apache-2.0"
"@opentelemetry/sdk-trace-base","1.0.0","library","pkg:npm/%40opentelemetry/sdk-trace-base@1.0.0","Apache-2.0"
"@opentelemetry/sdk-trace-base","1.0.0","library","pkg:npm/%40opentelemetry/sdk-trace-base@1.0.0","Apache-2.0"
"@opentelemetry/sdk-trace-base","1.30.1","library","pkg:npm/%40opentelemetry/sdk-trace-base@1.30.1","Apache-2.0"
"@opentelemetry/sdk-trace-base","2.0.0","library","pkg:npm/%40opentelemetry/sdk-trace-base@2.0.0","Apache-2.0"
"@opentelemetry/sdk-trace-base","2.0.0","library","pkg:npm/%40opentelemetry/sdk-trace-base@2.0.0","Apache-2.0"
"@opentelemetry/sdk-trace-base","2.0.0","library","pkg:npm/%40opentelemetry/sdk-trace-base@2.0.0","Apache-2.0"
"@opentelemetry/sdk-trace-base","2.0.0","library","pkg:npm/%40opentelemetry/sdk-trace-base@2.0.0","Apache-2.0"
"@opentelemetry/sdk-trace-base","2.0.0","library","pkg:npm/%40opentelemetry/sdk-trace-base@2.0.0","Apache-2.0"
"@opentelemetry/sdk-trace-base","2.0.0","library","pkg:npm/%40opentelemetry/sdk-trace-base@2.0.0","Apache-2.0"
"@opentelemetry/sdk-trace-base","2.0.0","library","pkg:npm/%40opentelemetry/sdk-trace-base@2.0.0","Apache-2.0"
"@opentelemetry/sdk-trace-base","2.0.0","library","pkg:npm/%40opentelemetry/sdk-trace-base@2.0.0","Apache-2.0"
"@opentelemetry/sdk-trace-node","2.0.0","library","pkg:npm/%40opentelemetry/sdk-trace-node@2.0.0","Apache-2.0"
"@opentelemetry/semantic-conventions","1.0.0","library","pkg:npm/%40opentelemetry/semantic-conventions@1.0.0","Apache-2.0"
"@opentelemetry/semantic-conventions","1.0.0","library","pkg:npm/%40opentelemetry/semantic-conventions@1.0.0","Apache-2.0"
"@opentelemetry/semantic-conventions","1.0.0","library","pkg:npm/%40opentelemetry/semantic-conventions@1.0.0","Apache-2.0"
"@opentelemetry/semantic-conventions","1.0.0","library","pkg:npm/%40opentelemetry/semantic-conventions@1.0.0","Apache-2.0"
"@opentelemetry/semantic-conventions","1.28.0","library","pkg:npm/%40opentelemetry/semantic-conventions@1.28.0","Apache-2.0"
"@opentelemetry/semantic-conventions","1.28.0","library","pkg:npm/%40opentelemetry/semantic-conventions@1.28.0","Apache-2.0"
"@opentelemetry/semantic-conventions","1.30.0","library","pkg:npm/%40opentelemetry/semantic-conventions@1.30.0","Apache-2.0"
"@protobufjs/aspromise","1.1.2","library","pkg:npm/%40protobufjs/aspromise@1.1.2","BSD-3-Clause"
"@protobufjs/base64","1.1.2","library","pkg:npm/%40protobufjs/base64@1.1.2","BSD-3-Clause"
"@protobufjs/codegen","2.0.4","library","pkg:npm/%40protobufjs/codegen@2.0.4","BSD-3-Clause"
"@protobufjs/eventemitter","1.1.0","library","pkg:npm/%40protobufjs/eventemitter@1.1.0","BSD-3-Clause"
"@protobufjs/fetch","1.1.0","library","pkg:npm/%40protobufjs/fetch@1.1.0","BSD-3-Clause"
"@protobufjs/float","1.0.2","library","pkg:npm/%40protobufjs/float@1.0.2","BSD-3-Clause"
"@protobufjs/inquire","1.1.0","library","pkg:npm/%40protobufjs/inquire@1.1.0","BSD-3-Clause"
"@protobufjs/path","1.1.2","library","pkg:npm/%40protobufjs/path@1.1.2","BSD-3-Clause"
"@protobufjs/pool","1.1.0","library","pkg:npm/%40protobufjs/pool@1.1.0","BSD-3-Clause"
"@protobufjs/utf8","1.1.0","library","pkg:npm/%40protobufjs/utf8@1.1.0","BSD-3-Clause"
"@tootallnate/once","2.0.0","library","pkg:npm/%40tootallnate/once@2.0.0","MIT"
"@types/caseless","0.12.5","library","pkg:npm/%40types/caseless@0.12.5","MIT"
"@types/console-log-level","1.4.2","library","pkg:npm/%40types/console-log-level@1.4.2","MIT"
"@types/linkify-it","3.0.2","library","pkg:npm/%40types/linkify-it@3.0.2","MIT"
"@types/long","4.0.2","library","pkg:npm/%40types/long@4.0.2","MIT"
"@types/markdown-it","12.2.3","library","pkg:npm/%40types/markdown-it@12.2.3","MIT"
"@types/mdurl","1.0.2","library","pkg:npm/%40types/mdurl@1.0.2","MIT"
"@types/node","18.11.9","library","pkg:npm/%40types/node@18.11.9","MIT"
"@types/request","2.48.12","library","pkg:npm/%40types/request@2.48.12","MIT"
"@types/semver","7.3.13","library","pkg:npm/%40types/semver@7.3.13","MIT"
"@types/shimmer","1.2.0","library","pkg:npm/%40types/shimmer@1.2.0","MIT"
"@types/tough-cookie","4.0.5","library","pkg:npm/%40types/tough-cookie@4.0.5","MIT"
"abbrev","1.1.1","library","pkg:npm/abbrev@1.1.1","ISC"
"abort-controller","3.0.0","library","pkg:npm/abort-controller@3.0.0","MIT"
"acorn","7.4.1","library","pkg:npm/acorn@7.4.1","MIT"
"acorn","8.10.0","library","pkg:npm/acorn@8.10.0","MIT"
"acorn","8.8.0","library","pkg:npm/acorn@8.8.0","MIT"
"acorn-import-attributes","1.9.5","library","pkg:npm/acorn-import-attributes@1.9.5","MIT"
"acorn-jsx","5.3.2","library","pkg:npm/acorn-jsx@5.3.2","MIT"
"ada-libs","2.7.8-r0","library","pkg:apk/alpine/ada-libs@2.7.8-r0?arch=x86_64&distro=alpine-3.20.3&upstream=ada",""
"agent-base","6.0.2","library","pkg:npm/agent-base@6.0.2","MIT"
"agent-base","7.1.1","library","pkg:npm/agent-base@7.1.1","MIT"
"alpine-baselayout","3.6.5-r0","library","pkg:apk/alpine/alpine-baselayout@3.6.5-r0?arch=x86_64&distro=alpine-3.20.3","GPL-2.0-only"
"alpine-baselayout-data","3.6.5-r0","library","pkg:apk/alpine/alpine-baselayout-data@3.6.5-r0?arch=x86_64&distro=alpine-3.20.3&upstream=alpine-baselayout","GPL-2.0-only"
"alpine-keys","2.4-r1","library","pkg:apk/alpine/alpine-keys@2.4-r1?arch=x86_64&distro=alpine-3.20.3","MIT"
"ansi-regex","5.0.1","library","pkg:npm/ansi-regex@5.0.1","MIT"
"ansi-styles","4.3.0","library","pkg:npm/ansi-styles@4.3.0","MIT"
"apk-tools","2.14.4-r0","library","pkg:apk/alpine/apk-tools@2.14.4-r0?arch=x86_64&distro=alpine-3.20.3","GPL-2.0-only"
"aproba","2.0.0","library","pkg:npm/aproba@2.0.0","ISC"
"are-we-there-yet","2.0.0","library","pkg:npm/are-we-there-yet@2.0.0","ISC"
"argparse","2.0.1","library","pkg:npm/argparse@2.0.1","Python-2.0"
"arrify","2.0.1","library","pkg:npm/arrify@2.0.1","MIT"
"asynckit","0.4.0","library","pkg:npm/asynckit@0.4.0","MIT"
"atomic-sleep","1.0.0","library","pkg:npm/atomic-sleep@1.0.0","MIT"
"balanced-match","1.0.2","library","pkg:npm/balanced-match@1.0.2","MIT"
"balanced-match","1.0.2","library","pkg:npm/balanced-match@1.0.2","MIT"
"base64-js","1.5.1","library","pkg:npm/base64-js@1.5.1","MIT"
"baz","UNKNOWN","library","pkg:npm/baz",""
"bignumber.js","9.1.2","library","pkg:npm/bignumber.js@9.1.2","MIT"
"bindings","1.5.0","library","pkg:npm/bindings@1.5.0","MIT"
"bluebird","3.7.2","library","pkg:npm/bluebird@3.7.2","MIT"
"brace-expansion","1.1.11","library","pkg:npm/brace-expansion@1.1.11","MIT"
"brace-expansion","1.1.11","library","pkg:npm/brace-expansion@1.1.11","MIT"
"brotli-libs","1.1.0-r2","library","pkg:apk/alpine/brotli-libs@1.1.0-r2?arch=x86_64&distro=alpine-3.20.3&upstream=brotli","MIT"
"browser_field","UNKNOWN","library","pkg:npm/browser_field",""
"buffer-equal-constant-time","1.0.1","library","pkg:npm/buffer-equal-constant-time@1.0.1","BSD-3-Clause"
"busybox","1.36.1-r29","library","pkg:apk/alpine/busybox@1.36.1-r29?arch=x86_64&distro=alpine-3.20.3","GPL-2.0-only"
